session_id,match_id,checkpoint_id,video_timestamp_sec,frame_index,frame_sha256,quality_flag,stage_round,hp,gold,level,xp,streak,board_units_count,bench_units_count,board_power,pair_count,immediate_shop_upgrades,estimated_rounds_to_elim,stage_benchmark_ratio,gold_to_next_level,spendable_roll_budget,recent_hp_delta,recommended_action,action_score_gap,actual_player_action,actual_action_source,actual_reviewer_id,human_preferred_action,human_confidence,blind_review,human_judgment,rationale_category,primary_reviewer_id,dual_review_count,t1_checkpoint_id,t1_hp,hp_delta,t1_gold,gold_delta,t2_checkpoint_id,t2_hp,t2_hp_delta,t3_checkpoint_id,t3_hp,t3_hp_delta
SESSION_001,REAL_MATCH_562ffca4,CP011,740.0,44400,a863295472855e9b73edcce9ddf5a6f4d795c0ac99e7833e06c65584ee38b4fc,VALID,4-5,32,32,7,24,0,7,1,19.8,1,0,4.57,1.0,4,0,,ROLL,0.0685,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP012,32,0,40,8,CP013,32,0,CP014,24,-8
SESSION_001,REAL_MATCH_562ffca4,CP012,810.0,48600,ac9eeb1c4899f3ff0dd0652097f7cf0e9935963af79ed1d9584b1acf8958b764,VALID,4-6,32,40,7,28,0,7,1,19.8,1,1,4.57,1.0,0,0,,ROLL,0.0679,LEVEL_UP,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,LEVEL_UP,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP013,32,0,22,-18,CP014,24,-8,CP015,24,-8
SESSION_001,REAL_MATCH_562ffca4,CP013,890.0,53400,4f6ab6e2b600791d994c55c5a4da51af953f98025e4fed05b2380fc919b7658c,VALID,5-1,32,22,8,0,0,8,1,22.63,1,2,3.2,1.0,32,0,,ROLL,0.0324,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP014,24,-8,28,6,CP015,24,-8,CP016,16,-16
SESSION_001,REAL_MATCH_562ffca4,CP014,960.0,57600,cba47d74d3eba7b3fe7f7c1606a47b7ebed4c5a2c935c992399906e2186fce77,VALID,5-2,24,28,8,4,0,8,2,22.63,2,2,2.4,1.0,28,0,,ROLL,0.0451,ROLL,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,ROLL,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP015,24,0,16,-12,CP016,16,-8,CP017,45,21
SESSION_001,REAL_MATCH_562ffca4,CP015,1030.0,61800,e8f999b6fa06a8d3c8f6dd06530c9060abde1d96b90b8581f77db75272e301af,VALID,5-3,24,16,8,8,0,8,2,22.63,2,0,2.4,1.0,24,0,,ROLL,0.0195,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP016,16,-8,26,10,CP017,45,21,CP018,45,21
SESSION_001,REAL_MATCH_562ffca4,CP016,1110.0,66600,8d221f3753a06ec6538437c84dfd3aab1c81d1b57e3a309551816fabd151aaa9,VALID,5-5,16,26,8,16,0,8,2,22.63,2,2,1.6,1.0,16,0,,ROLL,0.0408,ROLL,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,ROLL,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP017,45,29,30,4,CP018,45,29,CP019,8,-8
SESSION_001,REAL_MATCH_562ffca4,CP017,1190.0,71400,5b49c09b706d121657069f9a40da19928edfccd3ae076f966e30f0cec636703a,VALID,5-7,45,30,8,24,0,8,1,25.0,1,0,4.5,1.0,8,0,,SAVE_GOLD,0.0015,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP018,45,0,40,10,CP019,8,-37,CP020,8,-37
SESSION_001,REAL_MATCH_562ffca4,CP018,1270.0,76200,bc60fa93213be30859e89a0703b3c85706df93a7e45cec8dc4c4b6fd43702c55,VALID,6-1,45,40,8,32,0,8,1,25.0,1,2,3.0,1.0,0,0,,SAVE_GOLD,0.0015,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,True,GOOD,UNKNOWN,REVIEWER_A,0,CP019,8,-37,12,-28,CP020,8,-37,,,
SESSION_001,REAL_MATCH_562ffca4,CP019,1360.0,81600,e7033d72f328a5c2cf46f447e5b389f3e80ceb72546208ea7a5bdda54d61ba18,VALID,6-2,8,12,8,36,0,8,0,27.36,0,0,0.53,1.0,0,0,,ROLL,0.0115,ROLL,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,ROLL,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,CP020,8,0,4,-8,,,,,,
SESSION_001,REAL_MATCH_562ffca4,CP020,1450.0,87000,9122083236f1c93631f5bead091a56e9fc9e64c775087533c3f72e4f9dde072b,VALID,6-3,8,4,8,40,0,8,0,27.36,0,0,0.53,1.0,0,0,,ROLL,0.0001,SAVE_GOLD,HUMAN_VIDEO_REVIEW,PRIMARY_REVIEWER,SAVE_GOLD,HIGH,False,GOOD,UNKNOWN,REVIEWER_A,0,,,,,,,,,,,
