sec,slot,crop_file,gt_champion,gt_cost,baseline_champion,baseline_conf,baseline_outcome,hybrid_champion,hybrid_conf,hybrid_ocr,hybrid_outcome,detected_cost,is_empty
438.0,2,eda_0438.0s_slot2.jpg,카이사,3,탈론,0.449,FP,카이사,0.295,이으구다,TP,3,False
438.0,3,eda_0438.0s_slot3.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,10,TP,2,False
438.0,4,eda_0438.0s_slot4.jpg,판테온,2,판테온,0.616,TP,판테온,0.277,0,TP,2,False
438.0,5,eda_0438.0s_slot5.jpg,모데카이저,2,나르,0.542,FP,모데카이저,0.262,저리ㆍ떠,TP,2,False
440.0,1,eda_0440.0s_slot1.jpg,카이사,3,레오나,0.457,FP,카이사,0.232,006,TP,3,False
440.0,2,eda_0440.0s_slot2.jpg,카이사,3,탈론,0.449,FP,카이사,0.295,이으구다,TP,3,False
440.0,3,eda_0440.0s_slot3.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,10,TP,2,False
440.0,4,eda_0440.0s_slot4.jpg,판테온,2,판테온,0.617,TP,판테온,0.277,0,TP,2,False
440.0,5,eda_0440.0s_slot5.jpg,모데카이저,2,나르,0.542,FP,모데카이저,0.261,저리ㆍ떠,TP,2,False
444.0,1,eda_0444.0s_slot1.jpg,카이사,3,레오나,0.457,FP,카이사,0.347,이기르때,TP,3,False
444.0,2,eda_0444.0s_slot2.jpg,카이사,3,탈론,0.449,FP,카이사,0.296,이으루다,TP,3,False
444.0,3,eda_0444.0s_slot3.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,101,TP,2,False
444.0,4,eda_0444.0s_slot4.jpg,조이,2,판테온,0.616,FP,조이,0.412,이기그,TP,2,False
444.0,5,eda_0444.0s_slot5.jpg,나르,2,나르,0.542,TP,나르,0.259,그2,TP,2,False
450.0,1,eda_0450.0s_slot1.jpg,카이사,3,레오나,0.457,FP,카이사,0.233,006,TP,3,False
450.0,2,eda_0450.0s_slot2.jpg,카이사,3,탈론,0.449,FP,카이사,0.295,이으구다,TP,3,False
450.0,3,eda_0450.0s_slot3.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,10,TP,2,False
450.0,4,eda_0450.0s_slot4.jpg,판테온,2,판테온,0.616,TP,판테온,0.277,,TP,2,False
450.0,5,eda_0450.0s_slot5.jpg,모데카이저,2,나르,0.542,FP,모데카이저,0.263,저리ㆍ떠,TP,2,False
466.0,1,eda_0466.0s_slot1.jpg,우르곳,3,레오나,0.457,FP,우르곳,0.246,리기르서,TP,3,False
466.0,2,eda_0466.0s_slot2.jpg,카이사,3,탈론,0.448,FP,카이사,0.295,이으구다,TP,3,False
466.0,3,eda_0466.0s_slot3.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,17,TP,2,False
466.0,4,eda_0466.0s_slot4.jpg,조이,2,판테온,0.616,FP,조이,0.411,이오0,TP,2,False
466.0,5,eda_0466.0s_slot5.jpg,나르,2,나르,0.542,TP,나르,0.259,오도,TP,2,False
468.0,1,eda_0468.0s_slot1.jpg,카이사,3,EMPTY,0.497,FN,카이사,0.187,비베버,TP,3,False
468.0,2,eda_0468.0s_slot2.jpg,조이,2,잭스,0.515,FP,조이,0.384,이어,TP,2,False
468.0,3,eda_0468.0s_slot3.jpg,오로라,3,나서스,0.516,FP,오로라,0.224,0에,TP,3,False
468.0,4,eda_0468.0s_slot4.jpg,벨베스,2,벨베스,0.635,TP,벨베스,0.316,0명,TP,2,False
468.0,5,eda_0468.0s_slot5.jpg,마오카이,3,EMPTY,0.547,FN,마오카이,0.216,차,TP,3,False
546.0,1,eda_0546.0s_slot1.jpg,카이사,3,EMPTY,0.491,FN,카이사,0.179,,TP,3,False
546.0,2,eda_0546.0s_slot2.jpg,잭스,2,잭스,0.515,TP,잭스,0.274,으시,TP,2,False
546.0,3,eda_0546.0s_slot3.jpg,오로라,3,나서스,0.515,FP,오로라,0.224,,TP,3,False
546.0,4,eda_0546.0s_slot4.jpg,나서스,1,벨베스,0.58,FP,나서스,0.429,다,TP,1,False
546.0,5,eda_0546.0s_slot5.jpg,마오카이,3,EMPTY,0.547,FN,마오카이,0.216,,TP,3,False
548.0,1,eda_0548.0s_slot1.jpg,카이사,3,EMPTY,0.49,FN,카이사,0.179,,TP,3,False
548.0,2,eda_0548.0s_slot2.jpg,잭스,2,잭스,0.515,TP,잭스,0.274,으시,TP,2,False
548.0,3,eda_0548.0s_slot3.jpg,오로라,3,나서스,0.515,FP,오로라,0.224,,TP,3,False
548.0,4,eda_0548.0s_slot4.jpg,나서스,1,벨베스,0.578,FP,나서스,0.427,다,TP,1,False
548.0,5,eda_0548.0s_slot5.jpg,마오카이,3,EMPTY,0.547,FN,마오카이,0.216,,TP,3,False
560.0,1,eda_0560.0s_slot1.jpg,마오카이,3,마오카이,0.474,TP,마오카이,0.262,,TP,3,False
560.0,2,eda_0560.0s_slot2.jpg,미스 포츈,3,미스 포츈,0.701,TP,미스 포츈,0.306,기나여어베별,TP,3,False
560.0,3,eda_0560.0s_slot3.jpg,우르곳,3,이즈리얼,0.438,FP,우르곳,0.207,내,TP,3,False
560.0,4,eda_0560.0s_slot4.jpg,우르곳,3,렉사이,0.443,FP,우르곳,0.321,가르뚜노고,TP,3,False
560.0,5,eda_0560.0s_slot5.jpg,피즈,3,EMPTY,0.442,FN,피즈,0.185,더06,TP,3,False
590.0,1,eda_0590.0s_slot1.jpg,마오카이,3,마오카이,0.474,TP,마오카이,0.262,,TP,3,False
590.0,2,eda_0590.0s_slot2.jpg,미스 포츈,3,미스 포츈,0.701,TP,미스 포츈,0.307,기어여어버ㅣ,TP,3,False
590.0,3,eda_0590.0s_slot3.jpg,우르곳,3,이즈리얼,0.438,FP,우르곳,0.207,,TP,3,False
590.0,4,eda_0590.0s_slot4.jpg,사미라,3,렉사이,0.445,FP,사미라,0.247,0허뚜노,TP,3,False
590.0,5,eda_0590.0s_slot5.jpg,피즈,3,EMPTY,0.443,FN,피즈,0.185,시후히6,TP,3,False
610.0,1,eda_0610.0s_slot1.jpg,케이틀린,1,소나,0.44,FP,케이틀린,0.309,다,TP,1,False
610.0,2,eda_0610.0s_slot2.jpg,소나,5,EMPTY,0.517,FN,소나,0.221,다,TP,5,False
610.0,3,eda_0610.0s_slot3.jpg,쉔,5,나서스,0.551,FP,쉔,0.403,다,TP,5,False
610.0,4,eda_0610.0s_slot4.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
610.0,5,eda_0610.0s_slot5.jpg,쉔,5,EMPTY,0.505,FN,쉔,0.259,ㆍ느,TP,5,False
618.0,1,eda_0618.0s_slot1.jpg,카이사,3,EMPTY,0.495,FN,카이사,0.3,기이메자,TP,3,False
618.0,2,eda_0618.0s_slot2.jpg,판테온,2,판테온,0.618,TP,판테온,0.278,01개,TP,2,False
618.0,3,eda_0618.0s_slot3.jpg,카이사,3,EMPTY,0.442,FN,카이사,0.241,이스흐자831,TP,3,False
618.0,4,eda_0618.0s_slot4.jpg,오로라,3,EMPTY,0.496,FN,오로라,0.217,려자,TP,3,False
618.0,5,eda_0618.0s_slot5.jpg,나미,4,나미,0.583,TP,나미,0.302,퍼0,TP,4,False
632.0,1,eda_0632.0s_slot1.jpg,카이사,3,EMPTY,0.497,FN,카이사,0.2,고기배,TP,3,False
632.0,2,eda_0632.0s_slot2.jpg,나서스,1,벨베스,0.603,FP,나서스,0.427,다,TP,1,False
632.0,3,eda_0632.0s_slot3.jpg,카이사,3,EMPTY,0.442,FN,카이사,0.233,이이르히이크41,TP,3,False
632.0,4,eda_0632.0s_slot4.jpg,카이사,3,EMPTY,0.495,FN,카이사,0.3,이히지개1,TP,3,False
632.0,5,eda_0632.0s_slot5.jpg,나미,4,나미,0.582,TP,나미,0.302,펴,TP,4,False
634.0,1,eda_0634.0s_slot1.jpg,카이사,3,EMPTY,0.516,FN,카이사,0.223,0지자,TP,3,False
634.0,2,eda_0634.0s_slot2.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
634.0,3,eda_0634.0s_slot3.jpg,카이사,3,EMPTY,0.443,FN,카이사,0.255,이은하그81,TP,3,False
634.0,4,eda_0634.0s_slot4.jpg,카이사,3,EMPTY,0.518,FN,카이사,0.221,,TP,3,False
634.0,5,eda_0634.0s_slot5.jpg,나미,4,나미,0.583,TP,나미,0.302,기,TP,4,False
646.0,1,eda_0646.0s_slot1.jpg,카이사,3,EMPTY,0.487,FN,카이사,0.298,이기레자,TP,3,False
646.0,2,eda_0646.0s_slot2.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
646.0,3,eda_0646.0s_slot3.jpg,카이사,3,EMPTY,0.442,FN,카이사,0.249,이르지431,TP,3,False
646.0,4,eda_0646.0s_slot4.jpg,카이사,3,EMPTY,0.483,FN,카이사,0.283,이제저41,TP,3,False
646.0,5,eda_0646.0s_slot5.jpg,나미,4,나미,0.582,TP,나미,0.302,퍼,TP,4,False
664.0,1,eda_0664.0s_slot1.jpg,카이사,3,EMPTY,0.518,FN,카이사,0.331,그이메자,TP,3,False
664.0,2,eda_0664.0s_slot2.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
664.0,3,eda_0664.0s_slot3.jpg,카이사,3,EMPTY,0.443,FN,카이사,0.25,이르지831,TP,3,False
664.0,4,eda_0664.0s_slot4.jpg,카이사,3,EMPTY,0.516,FN,카이사,0.215,,TP,3,False
664.0,5,eda_0664.0s_slot5.jpg,나미,4,나미,0.583,TP,나미,0.302,저,TP,4,False
670.0,1,eda_0670.0s_slot1.jpg,카이사,3,EMPTY,0.497,FN,카이사,0.2,00,TP,3,False
670.0,2,eda_0670.0s_slot2.jpg,나서스,1,벨베스,0.604,FP,나서스,0.427,다,TP,1,False
670.0,3,eda_0670.0s_slot3.jpg,카이사,3,EMPTY,0.443,FN,카이사,0.25,이르지831,TP,3,False
670.0,4,eda_0670.0s_slot4.jpg,카이사,3,EMPTY,0.496,FN,카이사,0.203,페치개1,TP,3,False
670.0,5,eda_0670.0s_slot5.jpg,나미,4,나미,0.582,TP,나미,0.302,펴,TP,4,False
684.0,1,eda_0684.0s_slot1.jpg,카이사,3,EMPTY,0.52,FN,카이사,0.217,그기제차,TP,3,False
684.0,2,eda_0684.0s_slot2.jpg,나서스,1,벨베스,0.604,FP,나서스,0.427,다,TP,1,False
684.0,3,eda_0684.0s_slot3.jpg,카이사,3,EMPTY,0.444,FN,카이사,0.25,이르지831,TP,3,False
684.0,4,eda_0684.0s_slot4.jpg,카이사,3,EMPTY,0.518,FN,카이사,0.214,세자00000,TP,3,False
684.0,5,eda_0684.0s_slot5.jpg,나미,4,나미,0.582,TP,나미,0.302,제,TP,4,False
726.0,1,eda_0726.0s_slot1.jpg,나르,2,나르,0.54,TP,나르,0.259,으지리수1,TP,2,False
726.0,2,eda_0726.0s_slot2.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.243,러고,TP,3,False
726.0,3,eda_0726.0s_slot3.jpg,라아스트,3,EMPTY,0.493,FN,라아스트,0.182,더,TP,3,False
726.0,4,eda_0726.0s_slot4.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.244,8,TP,3,False
726.0,5,eda_0726.0s_slot5.jpg,오로라,3,빅토르,0.693,FP,오로라,0.4,오오,TP,3,False
734.0,1,eda_0734.0s_slot1.jpg,나르,2,나르,0.54,TP,나르,0.259,우지수7,TP,2,False
734.0,2,eda_0734.0s_slot2.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.242,0떠,TP,3,False
734.0,3,eda_0734.0s_slot3.jpg,라아스트,3,EMPTY,0.498,FN,라아스트,0.184,더,TP,3,False
734.0,4,eda_0734.0s_slot4.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.243,1으우히터개그,TP,3,False
734.0,5,eda_0734.0s_slot5.jpg,일라오이,3,빅토르,0.694,FP,일라오이,0.412,이,TP,3,False
744.0,1,eda_0744.0s_slot1.jpg,조이,2,나르,0.541,FP,조이,0.307,이지쁘,TP,2,False
744.0,2,eda_0744.0s_slot2.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.242,러ㅣ고,TP,3,False
744.0,3,eda_0744.0s_slot3.jpg,라아스트,3,EMPTY,0.503,FN,라아스트,0.185,더,TP,3,False
744.0,4,eda_0744.0s_slot4.jpg,오른,3,다이애나,0.514,FP,오른,0.319,으오지개,TP,3,False
744.0,5,eda_0744.0s_slot5.jpg,일라오이,3,빅토르,0.694,FP,일라오이,0.412,이,TP,3,False
746.0,1,eda_0746.0s_slot1.jpg,조이,2,나르,0.541,FP,조이,0.307,이지쁘,TP,2,False
746.0,2,eda_0746.0s_slot2.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.242,러ㅣ고,TP,3,False
746.0,3,eda_0746.0s_slot3.jpg,오로라,3,EMPTY,0.491,FN,오로라,0.303,오곤,TP,3,False
746.0,4,eda_0746.0s_slot4.jpg,오른,3,다이애나,0.514,FP,오른,0.3,으오지개,TP,3,False
746.0,5,eda_0746.0s_slot5.jpg,일라오이,3,빅토르,0.694,FP,일라오이,0.412,이,TP,3,False
756.0,1,eda_0756.0s_slot1.jpg,나르,2,나르,0.54,TP,나르,0.259,으지키수7,TP,2,False
756.0,2,eda_0756.0s_slot2.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.322,서후혀제세이,TP,3,False
756.0,3,eda_0756.0s_slot3.jpg,오로라,3,EMPTY,0.491,FN,오로라,0.303,오곤,TP,3,False
756.0,4,eda_0756.0s_slot4.jpg,오른,3,다이애나,0.514,FP,오른,0.306,오지터31,TP,3,False
756.0,5,eda_0756.0s_slot5.jpg,일라오이,3,빅토르,0.694,FP,일라오이,0.412,이,TP,3,False
780.0,1,eda_0780.0s_slot1.jpg,나르,2,나르,0.54,TP,나르,0.259,우지수7,TP,2,False
780.0,2,eda_0780.0s_slot2.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.242,0떠,TP,3,False
780.0,3,eda_0780.0s_slot3.jpg,카이사,3,EMPTY,0.49,FN,카이사,0.179,0,TP,3,False
780.0,4,eda_0780.0s_slot4.jpg,오른,3,다이애나,0.514,FP,오른,0.264,1오오지터개그,TP,3,False
780.0,5,eda_0780.0s_slot5.jpg,일라오이,3,빅토르,0.694,FP,일라오이,0.412,이,TP,3,False
782.0,1,eda_0782.0s_slot1.jpg,나르,2,나르,0.54,TP,나르,0.259,우지수7,TP,2,False
782.0,2,eda_0782.0s_slot2.jpg,다이애나,3,다이애나,0.514,TP,다이애나,0.242,0떠,TP,3,False
782.0,3,eda_0782.0s_slot3.jpg,카이사,3,EMPTY,0.491,FN,카이사,0.179,0,TP,3,False
782.0,4,eda_0782.0s_slot4.jpg,오른,3,다이애나,0.514,FP,오른,0.268,1오오지터개그,TP,3,False
782.0,5,eda_0782.0s_slot5.jpg,일라오이,3,빅토르,0.694,FP,일라오이,0.412,이,TP,3,False
824.0,1,eda_0824.0s_slot1.jpg,카이사,3,이즈리얼,0.439,FP,카이사,0.218,,TP,3,False
824.0,2,eda_0824.0s_slot2.jpg,일라오이,3,피즈,0.511,FP,일라오이,0.282,때일,TP,3,False
824.0,3,eda_0824.0s_slot3.jpg,조이,2,밀리오,0.711,FP,조이,0.393,이고르제,TP,2,False
824.0,4,eda_0824.0s_slot4.jpg,조이,2,조이,0.691,TP,조이,0.487,이로7,TP,2,False
824.0,5,eda_0824.0s_slot5.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
840.0,1,eda_0840.0s_slot1.jpg,카이사,3,이즈리얼,0.438,FP,카이사,0.215,,TP,3,False
840.0,2,eda_0840.0s_slot2.jpg,일라오이,3,피즈,0.511,FP,일라오이,0.248,때일41,TP,3,False
840.0,3,eda_0840.0s_slot3.jpg,밀리오,2,밀리오,0.711,TP,밀리오,0.307,0ㆍ,TP,2,False
840.0,4,eda_0840.0s_slot4.jpg,조이,2,조이,0.691,TP,조이,0.487,이모군,TP,2,False
840.0,5,eda_0840.0s_slot5.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
872.0,1,eda_0872.0s_slot1.jpg,다이애나,3,케이틀린,0.442,FP,다이애나,0.326,,TP,3,False
872.0,2,eda_0872.0s_slot2.jpg,다이애나,3,미스 포츈,0.564,FP,다이애나,0.445,다,TP,3,False
872.0,3,eda_0872.0s_slot3.jpg,미스 포츈,3,미스 포츈,0.584,TP,미스 포츈,0.347,,TP,3,False
872.0,4,eda_0872.0s_slot4.jpg,미스 포츈,3,미스 포츈,0.635,TP,미스 포츈,0.379,주,TP,3,False
872.0,5,eda_0872.0s_slot5.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
874.0,1,eda_0874.0s_slot1.jpg,리븐,4,케이틀린,0.45,FP,리븐,0.33,,TP,4,False
874.0,2,eda_0874.0s_slot2.jpg,킨드레드,4,소나,0.417,FP,킨드레드,0.317,다,TP,4,False
874.0,3,eda_0874.0s_slot3.jpg,누누와 윌럼프,4,미스 포츈,0.44,FP,누누와 윌럼프,0.324,,TP,4,False
874.0,4,eda_0874.0s_slot4.jpg,자야,4,미스 포츈,0.513,FP,자야,0.263,주,TP,4,False
874.0,5,eda_0874.0s_slot5.jpg,EMPTY,,EMPTY,0.0,TN,EMPTY,0.0,,TN,,True
